period,ticker,date_str,hora,open,high,low,close,candle_size_pct
IN-SAMPLE / tier_1  [2021-04-12 → 2022-04-07],MAQCW,2021-10-22,14:00,1.5,1.6695,0.705,0.9501,136.81
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],MAQCW,2021-10-22,14:00,1.5,1.6695,0.705,0.9501,136.81
IN-SAMPLE / tier_2  [2021-10-08 → 2022-10-07],SAITW,2022-10-03,04:15,0.3304,0.4401,0.18,0.1801,144.5
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],SAITW,2022-10-03,04:15,0.3304,0.4401,0.18,0.1801,144.5
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],EUDAW,2022-12-14,05:30,0.5498,0.55,0.25,0.25,120.0
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],ARBKL,2022-12-28,09:00,4.86,5.64,2.76,2.76,104.35
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],MLECW,2023-01-04,10:15,0.3393,0.3393,0.0948,0.187,257.91
IN-SAMPLE / tier_3  [2022-04-08 → 2023-04-06],UPC,2023-01-18,10:00,1.61,1.69,0.7358,0.7358,129.68
OUT-OF-SAMPLE / tier_1  [2022-04-08 → 2022-10-07],SAITW,2022-10-03,04:15,0.3304,0.4401,0.18,0.1801,144.5
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],EUDAW,2022-12-14,05:30,0.5498,0.55,0.25,0.25,120.0
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],ARBKL,2022-12-28,09:00,4.86,5.64,2.76,2.76,104.35
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],MLECW,2023-01-04,10:15,0.3393,0.3393,0.0948,0.187,257.91
OUT-OF-SAMPLE / tier_2  [2022-10-10 → 2023-04-06],UPC,2023-01-18,10:00,1.61,1.69,0.7358,0.7358,129.68
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],EDTX,2023-07-14,08:00,52.01,76.9,37.8,37.8,103.44
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],IPXXW,2023-07-17,12:15,0.7666,0.7666,0.3,0.3,155.53
OUT-OF-SAMPLE / tier_3  [2023-04-10 → 2023-10-06],LAAC,2023-10-04,05:45,15.97,15.97,7.77,8.46,105.53
